cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
NID,531=NpZnUotYgCwtFYhcmAMJnco4wmG7TQ8lch7zOwZNQG4DfI8GF18V1ev6vGZnxDOud2vuC6bbtFL-HF_FoEK8fZLz7WmT1LOG43M_NVoBnEuJ0H2QTNvGyNE_TsTaOcSOLFR7nZkfqwjzewfkRKHEpAe5htVnEch4hLMLBZ5fNhRJUIL7CuqH6kyQRc51w7Fie6hkTDB9PcsJ,.google.com,/,True,1793198189,True,https://play.google.com/log?hasfast=true&authuser=0&format=json,POST,"[[1,null,null,null,null,null,null,null,null,null,[null,null,null,null,null,null,null,null,[[[""Google Chrome"",""147""],[""Not.A/Brand"",""8""],[""Chromium"",""147""]],0,""Windows"",""19.0.0"",""x86"","""",""147.0.7727.102""],[3,1]]],373,[[1777386988402,null,null,null,null,null,null,""[1,40400,243,null,\\""906303689.0\\"",\\""68XwacWANs_P1e8P-4eriA4\\"",null,null,null,\\""en\\"",\\""KOR\\"",0,7,11351,null,0,0,null,\\""og-a6817da6-f514-4b52-ac5d-1254f38a0692\\"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,1,null,[2,5,\\""tp\\"",31],null,null,null,null,1]"",null,null,null,null,null,null,-32400,[null,null,null,""[null,null,[3700942,3701384,102772546,116119825,116249040,116249043]]""],null,null,null,null,1]],1777386988806,null,null,null,null,null,null,null,null,null,null,null,null,null,[[null,[null,null,null,null,null,null,null,null,null,null,null,null,122505695]],9]]","{""content-length"": ""951"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""content-type"": ""text/plain;charset=UTF-8"", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""*/*"", ""origin"": ""chrome-untrusted://new-tab-page"", ""x-browser-channel"": ""stable"", ""x-browser-year"": ""2026"", ""x-browser-validation"": ""B2gM+WTW2xHE15IAjh8nDoMc5x0="", ""x-browser-copyright"": ""Copyright 2026 Google LLC. All Rights Reserved."", ""x-client-data"": ""COSKywE="", ""sec-fetch-site"": ""cross-site"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""empty"", ""sec-fetch-storage-access"": ""active"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=4, i""}",200.0,"{""access-control-allow-origin"": ""chrome-untrusted://new-tab-page"", ""cross-origin-resource-policy"": ""cross-origin"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-headers"": ""X-Playlog-Web"", ""set-cookie"": ""NID=531=NpZnUotYgCwtFYhcmAMJnco4wmG7TQ8lch7zOwZNQG4DfI8GF18V1ev6vGZnxDOud2vuC6bbtFL-HF_FoEK8fZLz7WmT1LOG43M_NVoBnEuJ0H2QTNvGyNE_TsTaOcSOLFR7nZkfqwjzewfkRKHEpAe5htVnEch4hLMLBZ5fNhRJUIL7CuqH6kyQRc51w7Fie6hkTDB9PcsJ; expires=Wed, 28-Oct-2026 14:36:29 GMT; path=/; domain=.google.com; Secure; HttpOnly; SameSite=none"", ""p3p"": ""CP=\\""This is not a P3P policy! See g.co/p3phelp for more info.\\"""", ""content-type"": ""text/plain; charset=UTF-8"", ""content-encoding"": ""gzip"", ""date"": ""Tue, 28 Apr 2026 14:36:29 GMT"", ""server"": ""Playlog"", ""content-length"": ""131"", ""x-xss-protection"": ""0"", ""x-frame-options"": ""SAMEORIGIN"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000"", ""expires"": ""Tue, 28 Apr 2026 14:36:29 GMT"", ""cache-control"": ""private""}",2026-04-28T23:36:28.933793,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,third-party
session-id,-,.www.amazon.it,/,False,1398691137,False,https://www.amazon.it/favicon.ico,GET,,"{""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8"", ""sec-fetch-site"": ""same-origin"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""image"", ""referer"": ""https://www.amazon.it/"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=1, i""}",200.0,"{""content-type"": ""image/x-icon"", ""content-length"": ""2477"", ""date"": ""Tue, 28 Apr 2026 13:18:57 GMT"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""server"": ""Server"", ""x-amz-rid"": ""3Z5R0P07PMS8PR7M019F"", ""set-cookie"": ""session-id=-; path=/; domain=.www.amazon.it; expires=Mon, 28-Apr-2014 13:18:57 GMT"", ""x-amz-ir-id"": ""ecb96a07-7fb2-41d4-9b04-784c14116959"", ""cache-control"": ""max-age=86400,public"", ""last-modified"": ""Mon, 23 Dec 2013 21:11:15 GMT"", ""access-control-allow-origin"": ""*"", ""expires"": ""Fri, 28 Nov 2025 02:30:04 GMT"", ""x-nginx-cache-status"": ""HIT"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-fra-etou8220098-FRA, cache-dub4397-DUB"", ""timing-allow-origin"": ""https://www.amazon.it"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 5427a3a127bc94fd46ab49d2d3eea972.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""ICN80-P2"", ""alt-svc"": ""h3=\\"":443\\""; ma=86400"", ""x-amz-cf-id"": ""PsHKXzyrFNyrBa5CiS4FDUDXslowjSZW8RyGZbBRzcLsSH6ftNo0jw=="", ""age"": ""33542""}",2026-04-28T23:36:29.674735,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,third-party
session-id,520-1592120-1635138,.amazon.it,/,True,1808922990,False,https://www.amazon.it/favicon.ico,GET,,"{""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8"", ""sec-fetch-site"": ""same-origin"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""image"", ""referer"": ""https://www.amazon.it/"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=1, i""}",200.0,"{""content-type"": ""image/x-icon"", ""content-length"": ""2477"", ""date"": ""Tue, 28 Apr 2026 13:18:57 GMT"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""server"": ""Server"", ""x-amz-rid"": ""3Z5R0P07PMS8PR7M019F"", ""set-cookie"": ""session-id=-; path=/; domain=.www.amazon.it; expires=Mon, 28-Apr-2014 13:18:57 GMT"", ""x-amz-ir-id"": ""ecb96a07-7fb2-41d4-9b04-784c14116959"", ""cache-control"": ""max-age=86400,public"", ""last-modified"": ""Mon, 23 Dec 2013 21:11:15 GMT"", ""access-control-allow-origin"": ""*"", ""expires"": ""Fri, 28 Nov 2025 02:30:04 GMT"", ""x-nginx-cache-status"": ""HIT"", ""content-encoding"": ""gzip"", ""accept-ranges"": ""bytes"", ""x-served-by"": ""cache-fra-etou8220098-FRA, cache-dub4397-DUB"", ""timing-allow-origin"": ""https://www.amazon.it"", ""x-frame-options"": ""SAMEORIGIN"", ""vary"": ""Accept-Encoding,Accept-Encoding"", ""x-cache"": ""Hit from cloudfront"", ""via"": ""1.1 5427a3a127bc94fd46ab49d2d3eea972.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""ICN80-P2"", ""alt-svc"": ""h3=\\"":443\\""; ma=86400"", ""x-amz-cf-id"": ""PsHKXzyrFNyrBa5CiS4FDUDXslowjSZW8RyGZbBRzcLsSH6ftNo0jw=="", ""age"": ""33542""}",2026-04-28T23:36:29.674735,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,first-party
ad-privacy,0,.amazon-adsystem.com,/,True,1940683005,True,https://aax-eu.amazon-adsystem.com/s/iu3?d=amazon.it&slot=navFooter&old_oo=0&ts=1777386990909&s=AYrNdCwleGM8HO8KC3ggclVTzCAnYC6KtimWD4-gIfuB&gdpr_consent=&gdpr_consent_avl=&cb=1777386990909&dcc=t,GET,,"{""Host"": ""aax-eu.amazon-adsystem.com"", ""Connection"": ""keep-alive"", ""Upgrade-Insecure-Requests"": ""1"", ""User-Agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""Accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""Sec-Fetch-Site"": ""cross-site"", ""Sec-Fetch-Mode"": ""navigate"", ""Sec-Fetch-Dest"": ""iframe"", ""Sec-Fetch-Storage-Access"": ""active"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""sec-ch-ua-mobile"": ""?0"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""Referer"": ""https://www.amazon.it/"", ""Accept-Encoding"": ""gzip, deflate, br, zstd"", ""Accept-Language"": ""en-US,en;q=0.9""}",200.0,"{""Server"": ""Server"", ""Date"": ""Tue, 28 Apr 2026 14:36:45 GMT"", ""Content-Type"": ""text/html;charset=ISO-8859-1"", ""Content-Length"": ""65"", ""Connection"": ""keep-alive"", ""x-amz-rid"": ""T30P03A9KFCSX7SZHNCE"", ""Set-Cookie"": ""ad-privacy=0; Domain=.amazon-adsystem.com; Expires=Tue, 01-Jul-2031 14:36:45 GMT; Path=/; Secure; HttpOnly; SameSite=None"", ""Cache-Control"": ""max-age=0, no-cache, no-store, private, must-revalidate, s-maxage=0"", ""Pragma"": ""no-cache"", ""Expires"": ""Thu, 01 Jan 1970 00:00:00 GMT"", ""p3p"": ""policyref=\\""https://www.amazon.com/w3c/p3p.xml\\"", CP=\\""PSAo PSDo OUR SAM OTR DSP COR\\"""", ""Vary"": ""Content-Type,Accept-Encoding,User-Agent"", ""Strict-Transport-Security"": ""max-age=47474747; includeSubDomains; preload""}",2026-04-28T23:36:45.164924,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,third-party
ubid-acbit,261-5229345-5516506,.amazon.it,/,True,1808923006,False,https://www.amazon.it/puff/content?data=%7B%22pageType%22%3A%22Gateway%22%2C%22subPageType%22%3A%22desktop%22%2C%22referrer%22%3A%22https%3A%2F%2Fwww.amazon.it%2F%22%2C%22hostName%22%3A%22www.amazon.it%22%2C%22path%22%3A%22%2F%22%2C%22queryString%22%3A%22%22%7D,GET,,"{""sec-ch-ua-full-version-list"": ""\\""Google Chrome\\"";v=\\""147.0.7727.102\\"", \\""Not.A/Brand\\"";v=\\""8.0.0.0\\"", \\""Chromium\\"";v=\\""147.0.7727.102\\"""", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""viewport-width"": ""1920"", ""device-memory"": ""16"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""sec-ch-dpr"": ""1"", ""sec-ch-ua-mobile"": ""?0"", ""x-requested-with"": ""XMLHttpRequest"", ""accept"": ""*/*"", ""sec-ch-viewport-width"": ""1920"", ""downlink"": ""1.3"", ""ect"": ""3g"", ""sec-ch-device-memory"": ""16"", ""dpr"": ""1"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""rtt"": ""500"", ""sec-ch-ua-platform-version"": ""\\""19.0.0\\"""", ""sec-fetch-site"": ""same-origin"", ""sec-fetch-mode"": ""cors"", ""sec-fetch-dest"": ""empty"", ""referer"": ""https://www.amazon.it/"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=1, i"", ""cookie"": ""aws-waf-token=6643ffbc-f758-4bbf-93a2-970301d6ac6b:AQoAlN9ljJYwAAAA:S5Ks2Hi5NB4dwvtqZYgBjzHhGq7mDibZUnq75Y886VUbzAZSiXgV9jAr87FZNHwnXGH4gJvOcT42R4ujLIRm3/fxXIkh/L4qOa4mXhEPMmHROUTKx7apme/ckNJ+7IdgaRy0YFDzVrzl9e8jw9HK3/QkX/mSKP8aggrh47Jz8W4IZHb0uaodVPOKuokhFFby; session-id=520-1592120-1635138; session-id-time=2082787201l; i18n-prefs=EUR; lc-acbit=en_GB; csm-hit=tb:s-C40DGT089ERVTN454XG4|1777386991751&t:1777386992564&adb:adblk_no; rxc=AE7XXYnly3JtoNNAdwE""}",200.0,"{""content-type"": ""application/json"", ""date"": ""Tue, 28 Apr 2026 14:36:46 GMT"", ""server"": ""Server"", ""x-amz-rid"": ""H117A5D1W3P8KF35XV5Y"", ""set-cookie"": ""ubid-acbit=261-5229345-5516506; Domain=.amazon.it; Expires=Wed, 28-Apr-2027 14:36:46 GMT; Path=/; Secure"", ""x-content-type-options"": ""nosniff"", ""content-security-policy"": ""upgrade-insecure-requests;report-uri https://metrics.media-amazon.com/"", ""accept-ch"": ""ect,rtt,downlink,device-memory,sec-ch-device-memory,viewport-width,sec-ch-viewport-width,dpr,sec-ch-dpr,sec-ch-ua-full-version-list,sec-ch-ua-platform,sec-ch-ua-platform-version"", ""content-encoding"": ""gzip"", ""accept-ch-lifetime"": ""86400"", ""x-xss-protection"": ""1;"", ""content-security-policy-report-only"": ""default-src 'self' blob: https: data: mediastream: 'unsafe-eval' 'unsafe-inline';report-uri https://metrics.media-amazon.com/"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""vary"": ""Content-Type,X-Amazon-Wtm-Tag-OPF-IT-ENV-VAR-DP-LRA,X-Amazon-Wtm-Tag-OPF-IT-ENV-VAR-LRA,Accept-Encoding,User-Agent"", ""x-frame-options"": ""SAMEORIGIN"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 5427a3a127bc94fd46ab49d2d3eea972.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""ICN80-P2"", ""alt-svc"": ""h3=\\"":443\\""; ma=86400"", ""x-amz-cf-id"": ""JpwM-LY_AGzZs8NpzdGw6BW-tw6-Sj54OI6Orb0O2ReZiQ_18y9bwg==""}",2026-04-28T23:36:45.670804,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,first-party
session-token,qF8Ax5s8mscft9PDSeCURexxrra8OWCicxpUzeVWZxoh0eIZhvKrmx6LlDW4e7Ae3tbd4GEmsqEV3/UjNZztxSc0eTvjYjYTEmbClUcAjW6R7kq5EHrqA1E3D0DAidB2/Sunf2DLxMqyDUf708U9kUqTgXd7FJAFwOSJN/jEgyq8eC52+egQwqkhaSvb12YOE7GhrIEEKIb4XSd2xevdRR7xiJ1vTnlg,.amazon.it,/,True,1808923017,False,https://www.amazon.it/nav/ajax/hMenuDesktopFirstLayer?ajaxTemplate=hMenuDesktopFirstLayer&pageType=Gateway&hmDataAjaxHint=1&isFreshRegion=false&isFreshCustomer=false&isPrimeMember=false&isPrimeDay=false&isBackup=false&firstName=false&navDeviceType=desktop&hashCustomerAndSessionId=5284b37c3deca54262725a97a3628a6461440283&environmentVFI=AmazonNavigationOrchestrator%2Fpatch-4-22%40B6447413086-AL2023_aarch64&languageCode=en_GB&customerCountryCode=null,GET,,"{""sec-ch-ua-full-version-list"": ""\\""Google Chrome\\"";v=\\""147.0.7727.102\\"", \\""Not.A/Brand\\"";v=\\""8.0.0.0\\"", \\""Chromium\\"";v=\\""147.0.7727.102\\"""", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""viewport-width"": ""1920"", ""device-memory"": ""16"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""sec-ch-dpr"": ""1"", ""sec-ch-ua-mobile"": ""?0"", ""x-requested-with"": ""XMLHttpRequest"", ""accept"": ""text/html, */*; q=0.01"", ""sec-ch-viewport-width"": ""1920"", ""downlink"": ""1.3"", ""ect"": ""3g"", ""sec-ch-device-memory"": ""16"", ""dpr"": ""1"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""rtt"": ""500"", ""sec-ch-ua-platform-version"": ""\\""19.0.0\\"""", ""sec-fetch-site"": ""same-origin"", ""sec-fetch-mode"": ""cors"", ""sec-fetch-dest"": ""empty"", ""referer"": ""https://www.amazon.it/"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=1, i"", ""cookie"": ""aws-waf-token=6643ffbc-f758-4bbf-93a2-970301d6ac6b:AQoAlN9ljJYwAAAA:S5Ks2Hi5NB4dwvtqZYgBjzHhGq7mDibZUnq75Y886VUbzAZSiXgV9jAr87FZNHwnXGH4gJvOcT42R4ujLIRm3/fxXIkh/L4qOa4mXhEPMmHROUTKx7apme/ckNJ+7IdgaRy0YFDzVrzl9e8jw9HK3/QkX/mSKP8aggrh47Jz8W4IZHb0uaodVPOKuokhFFby; session-id=520-1592120-1635138; session-id-time=2082787201l; i18n-prefs=EUR; lc-acbit=en_GB; csm-hit=tb:s-C40DGT089ERVTN454XG4|1777386991751&t:1777386992564&adb:adblk_no; rxc=AE7XXYnly3JtoNNAdwE; ubid-acbit=261-5229345-5516506""}",200.0,"{""content-type"": ""application/json"", ""date"": ""Tue, 28 Apr 2026 14:36:57 GMT"", ""server"": ""Server"", ""x-amz-rid"": ""QZ74G3S0CHDR8DH3B80Y"", ""set-cookie"": ""session-token=qF8Ax5s8mscft9PDSeCURexxrra8OWCicxpUzeVWZxoh0eIZhvKrmx6LlDW4e7Ae3tbd4GEmsqEV3/UjNZztxSc0eTvjYjYTEmbClUcAjW6R7kq5EHrqA1E3D0DAidB2/Sunf2DLxMqyDUf708U9kUqTgXd7FJAFwOSJN/jEgyq8eC52+egQwqkhaSvb12YOE7GhrIEEKIb4XSd2xevdRR7xiJ1vTnlg; Domain=.amazon.it; Expires=Wed, 28-Apr-2027 14:36:57 GMT; Path=/; Secure"", ""x-content-type-options"": ""nosniff"", ""content-security-policy-report-only"": ""default-src 'self' blob: https: data: mediastream: 'unsafe-eval' 'unsafe-inline';report-uri https://metrics.media-amazon.com/"", ""content-encoding"": ""gzip"", ""content-security-policy"": ""upgrade-insecure-requests;report-uri https://metrics.media-amazon.com/"", ""cache-control"": ""public, max-age=1200"", ""x-xss-protection"": ""1;"", ""accept-ch-lifetime"": ""86400"", ""accept-ch"": ""ect,rtt,downlink,device-memory,sec-ch-device-memory,viewport-width,sec-ch-viewport-width,dpr,sec-ch-dpr,sec-ch-ua-full-version-list,sec-ch-ua-platform,sec-ch-ua-platform-version"", ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"", ""vary"": ""Content-Type,X-Amazon-Wtm-Tag-OPF-IT-ENV-VAR-DP-LRA,X-Amazon-Wtm-Tag-OPF-IT-ENV-VAR-LRA,Accept-Encoding,User-Agent"", ""x-frame-options"": ""SAMEORIGIN"", ""x-cache"": ""Miss from cloudfront"", ""via"": ""1.1 5427a3a127bc94fd46ab49d2d3eea972.cloudfront.net (CloudFront)"", ""x-amz-cf-pop"": ""ICN80-P2"", ""alt-svc"": ""h3=\\"":443\\""; ma=86400"", ""x-amz-cf-id"": ""z5iUzsWf_TcvkEiK0DURmrS3V6Gpsk4qsjWsBD-sMW2vHpEbr5-QGg==""}",2026-04-28T23:36:57.348560,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,first-party
aws-waf-token,6643ffbc-f758-4bbf-93a2-970301d6ac6b:AQoAlN9ljJYwAAAA:S5Ks2Hi5NB4dwvtqZYgBjzHhGq7mDibZUnq75Y886VUbzAZSiXgV9jAr87FZNHwnXGH4gJvOcT42R4ujLIRm3/fxXIkh/L4qOa4mXhEPMmHROUTKx7apme/ckNJ+7IdgaRy0YFDzVrzl9e8jw9HK3/QkX/mSKP8aggrh47Jz8W4IZHb0uaodVPOKuokhFFby,.www.amazon.it,/,True,1777732590,False,,,,,,,2026-04-28T23:37:41.345553,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,third-party
session-id-time,2082787201l,.amazon.it,/,True,1808922991,False,,,,,,,2026-04-28T23:37:41.345553,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,first-party
i18n-prefs,EUR,.amazon.it,/,False,1808922991,False,,,,,,,2026-04-28T23:37:41.345553,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,first-party
lc-acbit,en_GB,.amazon.it,/,False,1808922991,False,,,,,,,2026-04-28T23:37:41.345553,https://amazon.it,2026-04-28T23:37:41.345553,"Amazon.it: consumer electronics, books, music, fashion, video games, DVDs and much more",amazon_it,first-party
