cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
eurosport_country_code,FR,.eurosport.fr,/,True,-1,False,https://www.eurosport.fr/,GET,,"{""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-site"": ""none"", ""sec-fetch-mode"": ""navigate"", ""sec-fetch-user"": ""?1"", ""sec-fetch-dest"": ""document"", ""sec-ch-ua"": ""\\""Not(A:Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""144\\"", \\""Google Chrome\\"";v=\\""144\\"""", ""sec-ch-ua-mobile"": ""?0"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=0, i"", ""cookie"": ""eurosport_user={%22favoritesUserToken%22:%22eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyRmF2b3JpdGVJZCI6ImRkOGRkM2I3LWMzMDUtNDQ3NC05NzUxLWMyYzc4NzI4ZjkzYiIsImlhdCI6MTc2MzcwNDM4M30.naD93ugWulWFFGMXowOn5oK0jRN4p2qrkwF5HHr7xTQ%22%2C%22isRegistered%22:true%2C%22profileId%22:%22PROFILEID44b8d8d9-4063-4865-933f-67dde4ce3fc8%22%2C%22userId%22:%22USERID:eurosport:d9829f0b-abcf-4ba8-bc9b-bfd0dd8d12b4%22}; eurosport_user_country_code=us; eurosport_user_email=8f479e396fd6df9723b223a79f37034ca66092f112b22caa81ce8dbba27fa2c8; eurosport_user_timezone=Asia/Seoul; OptanonAlertBoxClosed=2026-01-29T12:38:52.460Z; eupubconsent-v2=CQexWxgQexWxgAcABBFRCPFwAP_AAAAAACiQI7AB_CZMRSFBICJkYYIgQIBVwRAgYkAABAQBAQAEABIAIIQAkCAAAACAACACAAIAACAAIAAACAAAAAAAIAAAIAAAAAwAABAAIAAAAAAAAgAACAAACYAAEAAAAAAEAgAAgAAAgBoAQEgAAAAAAAAAAAABABAQAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAEAAAAEAAABYSAkAAsACoAHAAQQAyADQAJgAVQA_ACEAEcAMAAZQA7gB-gHtAWwAvMBkgQAIAA4AEgAnAGLDoCoACwAKgAcABBADIANAAmABVAD8AMAAZQA7gB-gEWAI6Ae0BTYC2AF5gMkAZYBHYcAHgAcAB4AJABHAEIAQgAxYByxCAIAAsAKoAwAB3EAAQADwHLEoBQACwAOABMACqAI4AYACmgFsALzAZISACADuAYsAywByxSAoAAsACoAHAAQQAyADQAJgAVQA_ADAAGUAP0AiwBHQD2wKaApsBbAC8wGSAMsAjsUADAAkAEcAJwAdwDFgHLFgAIAbAA.f_gAAAAAAAAA; OptanonConsent=isGpcEnabled=0&datestamp=Thu+Jan+29+2026+21%3A39%3A03+GMT%2B0900+(Korean+Standard+Time)&version=202505.2.0&browserGpcFlag=0&isIABGlobal=false&hosts=&consentId=ffd939f2-46b0-41dc-b2e3-c77bb5337605&interactionCount=1&isAnonUser=1&landingPath=NotLandingPage&groups=C0002%3A1%2CC0003%3A1%2CBG2233%3A1%2CC0004%3A1%2CBG2232%3A1&intType=1&geolocation=%3B&AwaitingReconsent=false""}",200.0,"{""content-type"": ""text/html; charset=utf-8"", ""permissions-policy"": ""unload=()"", ""document-policy"": ""js-profiling"", ""x-amz-cf-pop"": ""CDG54-P2"", ""x-amz-cf-id"": ""iq3TQCHMG-og6s859ZVYDErd-mtTb8HLHI5nw4EPpjkUymBA4CR7yg=="", ""vary"": ""Accept-Encoding"", ""content-encoding"": ""gzip"", ""expires"": ""Wed, 04 Feb 2026 03:45:25 GMT"", ""date"": ""Wed, 04 Feb 2026 03:44:55 GMT"", ""set-cookie"": ""eurosport_country_code=FR; path=/; domain=.eurosport.fr; secure"", ""x-content-type-options"": ""nosniff"", ""strict-transport-security"": ""max-age=15768000 ; includeSubDomains"", ""referrer-policy"": ""no-referrer-when-downgrade""}",2026-02-04T12:44:53.031404,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,first-party
st,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJVU0VSSUQ6ZXVyb3Nwb3J0OjhmYjdlNGMyLWE2YmMtNDNlNC05MTYyLWExZmZiNGRkZjMwOCIsImp0aSI6InRva2VuLTQ5ZTE2MThkLWMyYTktNDhkZi1iZmE0LTJmMjU0Y2NmNmEzMSIsImFub255bW91cyI6dHJ1ZSwiaWF0IjoxNzcwMTc2Nzc1fQ.cuOy6uQG430DlxNWRaRilW-VFkv2Gac6SGtR6hK8Y58,eu3-prod-direct.eurosport.fr,/,True,2085536775,True,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard&laf=b64bin,POST, ,"{""content-length"": ""1"", ""origin"": ""https://www.google.com"", ""content-type"": ""application/x-www-form-urlencoded"", ""sec-fetch-site"": ""none"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""empty"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=4, i"", ""cookie"": ""__Secure-ENID=31.SE=VuuR_7GcMTj5CscUrYNqo13sjnFuQ5gpfjZEpV-NuGd-mCshQRWhx0YJFezgbCEzP9GhuD9_Ack7RHnbOIy7w6LtI1vJVIqBROnD8TspqpLMMmoXt253NehLwFKQsLGF81fdF0jaKjWU3Bm4CZ4f8QdKlbOw5izI96Pigz0Da5nJNgLCcazh0Iw5rnq8VoJxqXL1h1Vr5Bnd86Y533G0ObpOQEPhwcWitiFeCvW9RTBt9d2kj-UeuQ""}",200.0,"{""content-type"": ""application/binary"", ""vary"": ""Origin"", ""access-control-allow-origin"": ""https://www.google.com"", ""access-control-allow-credentials"": ""true"", ""cache-control"": ""no-cache, no-store, max-age=0, must-revalidate"", ""pragma"": ""no-cache"", ""expires"": ""Mon, 01 Jan 1990 00:00:00 GMT"", ""date"": ""Wed, 04 Feb 2026 03:44:53 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""permissions-policy"": ""ch-ua-arch=*, ch-ua-bitness=*, ch-ua-full-version=*, ch-ua-full-version-list=*, ch-ua-model=*, ch-ua-wow64=*, ch-ua-form-factors=*, ch-ua-platform=*, ch-ua-platform-version=*"", ""content-security-policy"": ""require-trusted-types-for 'script';report-uri /_/IdentityListAccountsHttp/cspreport"", ""accept-ch"": ""Sec-CH-UA-Arch, Sec-CH-UA-Bitness, Sec-CH-UA-Full-Version, Sec-CH-UA-Full-Version-List, Sec-CH-UA-Model, Sec-CH-UA-WoW64, Sec-CH-UA-Form-Factors, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version"", ""cross-origin-opener-policy"": ""same-origin"", ""reporting-endpoints"": ""default=\\""/_/IdentityListAccountsHttp/web-reports?context=eJzj0tHikmJw1ZBiOHxtB5Meyy0mIyDW1PNl0wVi84n-bNZAbPnGn80WiIV4OLY2dp9hE3iw-_kEZiXdpPzC-MyU1LySzJLKnMziksTk5PzSvJLi4tSistSieCMDIzMDQyNTPQPD-AIDAMU8Inc\\"""", ""server"": ""ESF"", ""content-length"": ""0"", ""x-xss-protection"": ""0"", ""x-content-type-options"": ""nosniff"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000""}",2026-02-04T12:44:52.101888,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,third-party
__Secure-ENID,31.SE=VuuR_7GcMTj5CscUrYNqo13sjnFuQ5gpfjZEpV-NuGd-mCshQRWhx0YJFezgbCEzP9GhuD9_Ack7RHnbOIy7w6LtI1vJVIqBROnD8TspqpLMMmoXt253NehLwFKQsLGF81fdF0jaKjWU3Bm4CZ4f8QdKlbOw5izI96Pigz0Da5nJNgLCcazh0Iw5rnq8VoJxqXL1h1Vr5Bnd86Y533G0ObpOQEPhwcWitiFeCvW9RTBt9d2kj-UeuQ,.google.com,/,True,1803876890,True,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,third-party
eurosport_user_timezone,Asia/Seoul,auth.eurosport.fr,/,False,1801712789,False,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,third-party
eurosport_user_timezone,Asia/Seoul,www.eurosport.fr,/,False,1801712830,False,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,third-party
OptanonAlertBoxClosed,2026-01-29T12:38:52.460Z,.eurosport.fr,/,True,1801226332,False,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,first-party
eupubconsent-v2,CQexWxgQexWxgAcABBFRCPFwAP_AAAAAACiQI7AB_CZMRSFBICJkYYIgQIBVwRAgYkAABAQBAQAEABIAIIQAkCAAAACAACACAAIAACAAIAAACAAAAAAAIAAAIAAAAAwAABAAIAAAAAAAAgAACAAACYAAEAAAAAAEAgAAgAAAgBoAQEgAAAAAAAAAAAABABAQAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAEAAAAEAAABYSAkAAsACoAHAAQQAyADQAJgAVQA_ACEAEcAMAAZQA7gB-gHtAWwAvMBkgQAIAA4AEgAnAGLDoCoACwAKgAcABBADIANAAmABVAD8AMAAZQA7gB-gEWAI6Ae0BTYC2AF5gMkAZYBHYcAHgAcAB4AJABHAEIAQgAxYByxCAIAAsAKoAwAB3EAAQADwHLEoBQACwAOABMACqAI4AYACmgFsALzAZISACADuAYsAywByxSAoAAsACoAHAAQQAyADQAJgAVQA_ADAAGUAP0AiwBHQD2wKaApsBbAC8wGSAMsAjsUADAAkAEcAJwAdwDFgHLFgAIAbAA.f_gAAAAAAAAA,.eurosport.fr,/,True,1801226332,False,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,first-party
OptanonConsent,isGpcEnabled=0&datestamp=Thu+Jan+29+2026+21%3A39%3A03+GMT%2B0900+(Korean+Standard+Time)&version=202505.2.0&browserGpcFlag=0&isIABGlobal=false&hosts=&consentId=ffd939f2-46b0-41dc-b2e3-c77bb5337605&interactionCount=1&isAnonUser=1&landingPath=NotLandingPage&groups=C0002%3A1%2CC0003%3A1%2CBG2233%3A1%2CC0004%3A1%2CBG2232%3A1&intType=1&geolocation=%3B&AwaitingReconsent=false,.eurosport.fr,/,True,1801226343,False,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,first-party
eurosport_is_eu,1,.eurosport.fr,/,True,-1,False,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,first-party
zephyr_is_cmp_enabled,1,.eurosport.fr,/,True,-1,False,,,,,,,2026-02-04T12:47:14.506565,https://eurosport.fr,2026-02-04T12:47:14.506565,"Sport infos, vidéos & résultats en direct - Eurosport",eurosport_fr,first-party
