cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
x-ff-abtest-group,B,www.femmeactuelle.fr,/,False,-1,False,https://www.femmeactuelle.fr/,GET,,"{""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-site"": ""none"", ""sec-fetch-mode"": ""navigate"", ""sec-fetch-user"": ""?1"", ""sec-fetch-dest"": ""document"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""sec-ch-ua-mobile"": ""?0"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=0, i""}",200.0,"{""cache-control"": ""max-age=60, public"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""document-policy"": ""js-profiling"", ""vary"": ""Accept-Encoding"", ""x-app-id"": ""femmeactuelle"", ""x-brand-key"": ""fac"", ""x-ff-abtest-group"": ""B"", ""x-project-id"": ""one-website"", ""x-request-time"": ""0.096"", ""date"": ""Mon, 04 May 2026 10:31:13 GMT"", ""set-cookie"": ""x-ff-abtest-group=B; path=/"", ""tdm-policy"": ""https://ops.programme-tv.net/tdm/tdm.json"", ""tdm-reservation"": ""1"", ""strict-transport-security"": ""max-age=2628000""}",2026-05-04T19:31:12.690871,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,third-party
__Secure-ENID,33.SE=SSMulqGpNtsNk8VbJheOAhRPsRvZYiWM_Td3jEDIhIA_aBnAS89ZJnCVc0ijsH4MuxbUZHX4vbSP5q_2WIYdAEHB5ANgqgb3WmhJftyYfeHHeYMdcl84UNxhcpCs1sCeDpxCUmY934jkxsL4hZXbdODnjWl1jxTk9OejWB3Ahp7LfvOZPYYjMmKgkcQDaujm86WLxifni10OjrLBy2oD7T372gx9hYv5NZOlxHiIR0dnyCOM4zycgQ,.google.com,/,True,1812077373,True,https://play.google.com/log?hasfast=true&authuser=0&format=json,POST,"[[1,null,null,null,null,null,null,null,null,null,[null,null,null,null,null,null,null,null,[[[""Google Chrome"",""147""],[""Not.A/Brand"",""8""],[""Chromium"",""147""]],0,""Windows"",""19.0.0"",""x86"","""",""147.0.7727.138""],[3,1]]],373,[[1777890673597,null,null,null,null,null,null,""[1,40400,243,null,\\""906950010.0\\"",\\""bnX4afP1L4uJkdUP_IfxUA\\"",null,null,null,\\""en\\"",\\""FRA\\"",0,7,12278,null,0,0,null,\\""og-fd1bf1b3-f5af-4c5a-93e3-78740b09286a\\"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,1,null,[2,5,\\""we\\"",114],null,null,null,null,1]"",null,null,null,null,null,null,-32400,[null,null,null,""[null,null,[3700949,3701384,102772546,116119825,116249040,116249043]]""],null,null,null,null,1]],1777890674015,null,null,null,null,null,null,null,null,null,null,null,null,null,[[null,[null,null,null,null,null,null,null,null,null,null,null,null,122505695]],9]]","{""content-length"": ""951"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""content-type"": ""text/plain;charset=UTF-8"", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""*/*"", ""origin"": ""chrome-untrusted://new-tab-page"", ""x-browser-channel"": ""stable"", ""x-browser-year"": ""2026"", ""x-browser-validation"": ""jaO2vvOiPp81rvmaLFByfP/P8kY="", ""x-browser-copyright"": ""Copyright 2026 Google LLC. All Rights Reserved."", ""x-client-data"": ""CMPgygE="", ""sec-fetch-site"": ""cross-site"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""empty"", ""sec-fetch-storage-access"": ""active"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=4, i""}",200.0,"{""access-control-allow-origin"": ""chrome-untrusted://new-tab-page"", ""cross-origin-resource-policy"": ""cross-origin"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-headers"": ""X-Playlog-Web"", ""set-cookie"": ""__Secure-ENID=33.SE=SSMulqGpNtsNk8VbJheOAhRPsRvZYiWM_Td3jEDIhIA_aBnAS89ZJnCVc0ijsH4MuxbUZHX4vbSP5q_2WIYdAEHB5ANgqgb3WmhJftyYfeHHeYMdcl84UNxhcpCs1sCeDpxCUmY934jkxsL4hZXbdODnjWl1jxTk9OejWB3Ahp7LfvOZPYYjMmKgkcQDaujm86WLxifni10OjrLBy2oD7T372gx9hYv5NZOlxHiIR0dnyCOM4zycgQ; expires=Fri, 04-Jun-2027 02:49:33 GMT; path=/; domain=.google.com; Secure; HttpOnly; SameSite=lax"", ""p3p"": ""CP=\\""This is not a P3P policy! See g.co/p3phelp for more info.\\"""", ""content-type"": ""text/plain; charset=UTF-8"", ""content-encoding"": ""gzip"", ""date"": ""Mon, 04 May 2026 10:31:15 GMT"", ""server"": ""Playlog"", ""content-length"": ""131"", ""x-xss-protection"": ""0"", ""x-frame-options"": ""SAMEORIGIN"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000"", ""expires"": ""Mon, 04 May 2026 10:31:15 GMT"", ""cache-control"": ""private""}",2026-05-04T19:31:14.902911,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,third-party
_sp_su,false,.femmeactuelle.fr,/,True,1809426683,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,first-party
g_state,"{""i_l"":0,""i_ll"":1777890686080,""i_b"":""rxCgSuXVHvOODN96n0/pVLRZH+MtuYC7jnYd8kmAoWA"",""i_e"":{""enable_itp_optimization"":20},""i_et"":1777890686080}",www.femmeactuelle.fr,/,False,1793442686,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,third-party
cmp_firstid_consented,1,.femmeactuelle.fr,/,False,1793442689,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,first-party
shown-privacy-manager-message,true,.femmeactuelle.fr,/,False,1793442689,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,first-party
consentUUID,451f2a66-7e1c-44a7-9b5c-5d4ef3f0865b_55,.femmeactuelle.fr,/,True,1793442693,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,first-party
consentDate,2026-05-04T10:31:33.977Z,.femmeactuelle.fr,/,True,1793442693,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,first-party
cmp_referrer,,.www.femmeactuelle.fr,/,False,1778495493,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,third-party
_sharedID,bfdfd0ed-b5f7-465e-9a8f-1485b737fb6a,.femmeactuelle.fr,/,False,1809426710,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,first-party
_sharedID_cst,ARzpQA%3D%3D,.femmeactuelle.fr,/,False,1809426710,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,first-party
_lr_retry_request,true,www.femmeactuelle.fr,/,False,1777894310,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,third-party
_lr_env_src_ats,false,www.femmeactuelle.fr,/,False,1780482710,False,,,,,,,2026-05-04T19:32:44.094158,https://femmeactuelle.fr,2026-05-04T19:32:44.094158,"Femme Actuelle : votre magazine féminin mode, beauté, cuisine, minceur : Femme Actuelle Le MAG",femmeactuelle_fr,third-party
