cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
x-ff-abtest-group,A,www.geo.fr,/,False,-1,False,https://www.geo.fr/,GET,,"{""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-site"": ""none"", ""sec-fetch-mode"": ""navigate"", ""sec-fetch-user"": ""?1"", ""sec-fetch-dest"": ""document"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""sec-ch-ua-mobile"": ""?0"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=0, i""}",200.0,"{""cache-control"": ""max-age=60, public"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""document-policy"": ""js-profiling"", ""vary"": ""Accept-Encoding"", ""x-app-id"": ""geo"", ""x-brand-key"": ""geo"", ""x-ff-abtest-group"": ""A"", ""x-project-id"": ""one-website"", ""x-request-time"": ""0.070"", ""date"": ""Mon, 04 May 2026 10:25:10 GMT"", ""set-cookie"": ""x-ff-abtest-group=A; path=/"", ""tdm-policy"": ""https://ops.programme-tv.net/tdm/tdm.json"", ""tdm-reservation"": ""1"", ""strict-transport-security"": ""max-age=2628000""}",2026-05-04T19:25:09.573863,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,third-party
__Secure-ENID,33.SE=nHB3sDY0leLcpd9X6oxPrLK1ENlqT_Ty22-_Si27WLHSX4oqFA3srRrdD5DMvhjkXagVdLmhokp7mAgfzTZ4hTn_pj3pmjEY6QEEihHrAcRb1xZJxW0X7af8G0waIM4oqrbe1roe05LcoKg7iPKOcH5_c6H2WLQTogUYLdxtTZnuitq87Vn8iUGy-yXzUjn1cyJu9-c5NB_AkvUJCzbjzVsKEH-6fZVotMbEDQdTNCNpIpqam2uarHs,.google.com,/,True,1812077009,True,https://play.google.com/log?hasfast=true&authuser=0&format=json,POST,"[[1,null,null,null,null,null,null,null,null,null,[null,null,null,null,null,null,null,null,[[[""Google Chrome"",""147""],[""Not.A/Brand"",""8""],[""Chromium"",""147""]],0,""Windows"",""19.0.0"",""x86"","""",""147.0.7727.138""],[3,1]]],373,[[1777890310716,null,null,null,null,null,null,""[1,40400,243,null,\\""906950010.0\\"",\\""BHT4abCaB9fskdUP7eXBmQY\\"",null,null,null,\\""en\\"",\\""FRA\\"",0,7,13131,null,0,0,null,\\""og-538d9e47-09e9-459c-ba37-271ee89c720e\\"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,1,null,[2,5,\\""we\\"",24],null,null,null,null,1]"",null,null,null,null,null,null,-32400,[null,null,null,""[null,null,[3700942,3701384,102772546,116119825,116249040,116249043]]""],null,null,null,null,1]],1777890310733,null,null,null,null,null,null,null,null,null,null,null,null,null,[[null,[null,null,null,null,null,null,null,null,null,null,null,null,122505695]],9]]","{""content-length"": ""951"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Google Chrome\\"";v=\\""147\\"", \\""Not.A/Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""147\\"""", ""content-type"": ""text/plain;charset=UTF-8"", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""*/*"", ""origin"": ""chrome-untrusted://new-tab-page"", ""x-browser-channel"": ""stable"", ""x-browser-year"": ""2026"", ""x-browser-validation"": ""jaO2vvOiPp81rvmaLFByfP/P8kY="", ""x-browser-copyright"": ""Copyright 2026 Google LLC. All Rights Reserved."", ""x-client-data"": ""CMqLywE="", ""sec-fetch-site"": ""cross-site"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""empty"", ""sec-fetch-storage-access"": ""active"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=4, i""}",200.0,"{""access-control-allow-origin"": ""chrome-untrusted://new-tab-page"", ""cross-origin-resource-policy"": ""cross-origin"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-headers"": ""X-Playlog-Web"", ""set-cookie"": ""__Secure-ENID=33.SE=nHB3sDY0leLcpd9X6oxPrLK1ENlqT_Ty22-_Si27WLHSX4oqFA3srRrdD5DMvhjkXagVdLmhokp7mAgfzTZ4hTn_pj3pmjEY6QEEihHrAcRb1xZJxW0X7af8G0waIM4oqrbe1roe05LcoKg7iPKOcH5_c6H2WLQTogUYLdxtTZnuitq87Vn8iUGy-yXzUjn1cyJu9-c5NB_AkvUJCzbjzVsKEH-6fZVotMbEDQdTNCNpIpqam2uarHs; expires=Fri, 04-Jun-2027 02:43:29 GMT; path=/; domain=.google.com; Secure; HttpOnly; SameSite=lax"", ""p3p"": ""CP=\\""This is not a P3P policy! See g.co/p3phelp for more info.\\"""", ""content-type"": ""text/plain; charset=UTF-8"", ""content-encoding"": ""gzip"", ""date"": ""Mon, 04 May 2026 10:25:11 GMT"", ""server"": ""Playlog"", ""content-length"": ""131"", ""x-xss-protection"": ""0"", ""x-frame-options"": ""SAMEORIGIN"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000"", ""expires"": ""Mon, 04 May 2026 10:25:11 GMT"", ""cache-control"": ""private""}",2026-05-04T19:25:11.349634,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,third-party
_sp_su,false,.geo.fr,/,True,1809426316,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,first-party
g_state,"{""i_l"":0,""i_ll"":1777890319781,""i_b"":""2yLNp2UgfGwuETRl8pRheamK2ZND6Eb5I/gu7XCsp/g"",""i_e"":{""enable_itp_optimization"":0},""i_et"":1777890319781}",www.geo.fr,/,False,1793442319,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,third-party
cmp_firstid_consented,1,.geo.fr,/,False,1793442320,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,first-party
shown-privacy-manager-message,true,.geo.fr,/,False,1793442320,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,first-party
consentUUID,8d8c7707-d666-48dc-9135-1905a22e1426_55,.geo.fr,/,True,1793442323,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,first-party
consentDate,2026-05-04T10:25:23.283Z,.geo.fr,/,True,1793442323,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,first-party
cmp_referrer,,.www.geo.fr,/,False,1778495123,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,third-party
_sharedID,73d3e6c0-5af8-4f6d-a251-12e427302711,.geo.fr,/,False,1809426330,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,first-party
_sharedID_cst,ARzpQA%3D%3D,.geo.fr,/,False,1809426330,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,first-party
_lr_retry_request,true,www.geo.fr,/,False,1777893930,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,third-party
_lr_env_src_ats,false,www.geo.fr,/,False,1780482330,False,,,,,,,2026-05-04T19:27:27.184805,https://geo.fr,2026-05-04T19:27:27.184805,"Magazine photo, Voyage, Environnement, Histoire et Sciences",geo_fr,third-party
