cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
tfr_vid,tfr_vid_640693-1769667028-542946,.letelegramme.fr,/,False,1769668895,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
tfr_uid,tfr_uid_644157-1769667029-767628,.letelegramme.fr,/,False,1803795029,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
didomi_token,eyJ1c2VyX2lkIjoiMTljMDg2MDAtM2I2Mi02NzIwLWI4NjgtMWZiOGIzZmEzMWYyIiwiY3JlYXRlZCI6IjIwMjYtMDEtMjlUMDY6MTA6MzYuMDg2WiIsInVwZGF0ZWQiOiIyMDI2LTAxLTI5VDA2OjEwOjM5LjQxMFoiLCJ2ZW5kb3JzIjp7ImVuYWJsZWQiOlsiZ29vZ2xlIiwiYzpob3RqYXIiLCJjOnBvb29sLVZ5aENpdDdOIiwiYzpHTXdkd0NNMyIsImM6ZGlkb21pIiwiYzpodWJzcG90IiwiYzpodWJzcG90LWZvcm1zIiwiYzpnb29nbGVhbmEtNFRYbkppZ1IiLCJjOnNjcmlwdGJhdGNoIiwiYzpkYXRhZG9nLUFEZmVnVk1wIiwiYzpucGF3LW5aTEVYVFdhIiwiYzptZXJrbGUtcmtnIiwiYzpzZW5kaW5ibHVlLWJwUjhxaVpiIiwiYzphY3Btb25lbmV4dCIsImM6cGlhbm9oeWJyLVIzVktDMnI0IiwiYzpmaXJzdGlkLWJneHI0VEwzIiwiYzp1dGlxLWF3alpLcWNYIl19LCJwdXJwb3NlcyI6eyJlbmFibGVkIjpbImdlb2xvY2F0aW9uX2RhdGEiLCJkZXZpY2VfY2hhcmFjdGVyaXN0aWNzIiwiZ2VvX21hcmtldGluZ19zdHVkaWVzIiwiYXVkaWVuY2VtLWhKeGFlR3JSIiwiZ2VvX2FkcyIsInVzZW9mdGVsLWRVRDRuUEpVIl19LCJ2ZXJzaW9uIjoyLCJhYyI6IkNCU0FLQURjQUxJQ1N3SWtnZ1VBLkFBQUEifQ==,.letelegramme.fr,/,False,1785478239,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
euconsent-v2,CQeyl4AQeyl4AAHABBENCPFsAP_gAAAAAAqIKWlR7G7dTWFheTZ34ONEaYhex9ArogQhBgSJkwgFSBtEoJwX32AqMAzAAIAKABIAoXRAAQFlDADEBACgAIAFATAIAECQgQIIIqAEiAERAkJICBhDGwECWAAYwDANAERAgBKEQdr8QcTgm4AEDUIQ5AAlAICEAIMJCEE4QBASWoIEAywAIQIgAIIBEAAAABAAEAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAgYJADABwAtkBggAxSADAAEF-B0AGAAIL8BIAMAAQX4JQAYAAgvwQgAwABBfgsABgACC_A.f_wAAAAAAAAA,.letelegramme.fr,/,False,1785478239,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
_pcid,%7B%22browserId%22%3A%22mkz229ohx4rya1gy%22%2C%22_t%22%3A%22n0ngzvgn%7Cmkz22e4n%22%7D,.letelegramme.fr,/,True,1803795043,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
_pctx,%7Bu%7DN4IgrgzgpgThIC4B2YA2qA05owMoBcBDfSREQpAeyRCwgEt8oBJAE0RXSwH18ykADEgDmALwBuwygB8AtgGtRAJiVQALJRABfIA,.letelegramme.fr,/,True,1803795043,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
g_state,"{""i_l"":0,""i_ll"":1769667063163,""i_b"":""2xgzKj0Di59CgrjQDeK69DHx8rrndQ2ax+nGXn7OFh4"",""i_e"":{""enable_itp_optimization"":3}}",.letelegramme.fr,/,False,1785219063,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
_pprv,eyJjb25zZW50Ijp7IjAiOnsibW9kZSI6ImVzc2VudGlhbCJ9LCIxIjp7Im1vZGUiOiJvcHQtaW4ifSwiMiI6eyJtb2RlIjoib3B0LWluIn0sIjMiOnsibW9kZSI6Im9wdC1pbiJ9LCI0Ijp7Im1vZGUiOiJvcHQtaW4ifSwiNSI6eyJtb2RlIjoib3B0LWluIn0sIjYiOnsibW9kZSI6Im9wdC1pbiJ9LCI3Ijp7Im1vZGUiOiJvcHQtaW4ifX0sInB1cnBvc2VzIjpudWxsLCJfdCI6Im4wbmd6cjBpfG1rejIyOW9pIn0%3D,.letelegramme.fr,/,True,1803795038,False,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
TOUFFUSESSID,11pb7oh7hb16puvq8gcvbpg3c3,connect.letelegramme.fr,/,True,1774923151,True,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,third-party
__cf_bm,jL_aa6DW23MgFo8gdBdkAKPWXb54eWBtwhuAasS2TsA-1769667093.6527023-1.0.1.1-bNd_ODD21McICxMwKDvMf8OkMbXmdjCWifEo5XaO5vxb.4jsU.6T6LtF0Cp3e5RBSbeyWmlK.qPqRZFZIL0EsaTzGTkQGLhc3K22NtGA41xSm9SmQP1PNA12WmLk13wR,.letelegramme.fr,/,True,1769668893,True,,,,,,,2026-01-29T15:17:05.506329,https://letelegramme.fr,2026-01-29T15:17:05.506329,502 Bad Gateway,letelegramme_fr,first-party
