cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
__Secure-ENID,31.SE=TCez5stzQlyPdP0Jq344GAMC8JyhEoZq5iVCC3X1DfQR6Vd5W0PfpflS7txOhl9MHB1dTvamvI-P-Qdb8NPeSKCpl4Hg4tRCWLTTbfJ2LGEJ-Swg32YNXhHdgs3t_EkbYVL3cifxVe_xa1ovA6PTLRmQZAkQBl_d4GhJpeRe2J4eaZOmMGdjIki9P1UrJGqR5JwKLtuKmRSMr6TxhBm50EBEQg8Jo6inFNgji_faS5QBh__YZSncxu8,.google.com,/,True,1803852510,True,https://play.google.com/log?format=json&hasfast=true,POST,"[[1,null,null,null,null,null,null,null,null,null,[null,null,null,null,null,null,null,null,[[[""Not(A:Brand"",""8""],[""Chromium"",""144""],[""Google Chrome"",""144""]],0,""Windows"",""19.0.0"",""x86"","""",""144.0.7559.97""],[1,0]]],373,[[1769665810091,null,null,null,null,null,null,""[1,40400,243,null,\\""861441859.0\\"",\\""D_V6abWmIvLs7M8PptX7kA8\\"",null,null,null,\\""en\\"",\\""FRA\\"",0,7,10594,null,0,0,null,\\""og-12e3fd98-9757-4a2e-b36e-dd2fff248ea0\\"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,1,null,[2,5,\\""we\\"",78],null,null,null,null,1]"",null,null,null,null,null,null,-32400,[null,null,null,""[null,null,[3701384,102772546,116221149,116221152]]""],null,null,null,null,1]],1769665811100,null,null,null,null,null,null,null,null,null,null,null,null,null,[[null,[null,null,null,null,null,null,null,null,null,null,null,null,122505695]],9]]","{""content-length"": ""932"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Not(A:Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""144\\"", \\""Google Chrome\\"";v=\\""144\\"""", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""*/*"", ""origin"": ""chrome-untrusted://new-tab-page"", ""x-browser-channel"": ""stable"", ""x-browser-year"": ""2026"", ""x-browser-validation"": ""d8JhDaoX8b/ShTRrHDjGiWOeFok="", ""x-browser-copyright"": ""Copyright 2026 Google LLC. All Rights reserved."", ""x-client-data"": ""CLniygE="", ""sec-fetch-site"": ""cross-site"", ""sec-fetch-mode"": ""cors"", ""sec-fetch-dest"": ""empty"", ""sec-fetch-storage-access"": ""active"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=1, i""}",200.0,"{""access-control-allow-origin"": ""chrome-untrusted://new-tab-page"", ""cross-origin-resource-policy"": ""cross-origin"", ""access-control-allow-credentials"": ""true"", ""access-control-allow-headers"": ""X-Playlog-Web"", ""set-cookie"": ""__Secure-ENID=31.SE=TCez5stzQlyPdP0Jq344GAMC8JyhEoZq5iVCC3X1DfQR6Vd5W0PfpflS7txOhl9MHB1dTvamvI-P-Qdb8NPeSKCpl4Hg4tRCWLTTbfJ2LGEJ-Swg32YNXhHdgs3t_EkbYVL3cifxVe_xa1ovA6PTLRmQZAkQBl_d4GhJpeRe2J4eaZOmMGdjIki9P1UrJGqR5JwKLtuKmRSMr6TxhBm50EBEQg8Jo6inFNgji_faS5QBh__YZSncxu8; expires=Sun, 28-Feb-2027 22:08:30 GMT; path=/; domain=.google.com; Secure; HttpOnly; SameSite=lax"", ""p3p"": ""CP=\\""This is not a P3P policy! See g.co/p3phelp for more info.\\"""", ""content-type"": ""text/plain; charset=UTF-8"", ""content-encoding"": ""gzip"", ""date"": ""Thu, 29 Jan 2026 05:50:12 GMT"", ""server"": ""Playlog"", ""content-length"": ""131"", ""x-xss-protection"": ""0"", ""x-frame-options"": ""SAMEORIGIN"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000"", ""expires"": ""Thu, 29 Jan 2026 05:50:12 GMT"", ""cache-control"": ""private""}",2026-01-29T14:50:11.646226,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
__wadp_clearance_sid,1769665826008_01e0uix3f,www.louvre.fr,/,False,1769687426,False,https://www.louvre.fr/_next/static/chunks/2901.fece9e5134c34f92.js,GET,,"{""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Not(A:Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""144\\"", \\""Google Chrome\\"";v=\\""144\\"""", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""*/*"", ""sec-fetch-site"": ""same-origin"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""script"", ""referer"": ""https://www.louvre.fr/"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""cookie"": ""louvre_consent_technical_v2=true; louvre_consent_piano_analytic=true; louvre_consent_clarity=true; louvre_consent_youtube=true; louvre_consent_vimeo=true""}",200.0,"{""date"": ""Thu, 29 Jan 2026 05:50:26 GMT"", ""content-type"": ""application/javascript; charset=UTF-8"", ""content-length"": ""1211"", ""set-cookie"": ""__wadp_clearance_sid=1769665826008_01e0uix3f; Path=/; Max-Age=21600; Expires=Thu, 29 Jan 2026 11:50:26 GMT; Max-Age=21600"", ""x-powered-by"": ""Express"", ""cache-control"": ""public, max-age=2592000"", ""last-modified"": ""Mon, 19 Jan 2026 09:31:36 GMT"", ""etag"": ""W/\\""a9b-19bd598720a\\"""", ""content-encoding"": ""gzip"", ""x-cache"": ""HIT"", ""x-cache-hits"": ""1"", ""access-control-allow-origin"": ""https://www.louvre.fr"", ""access-control-allow-methods"": ""GET, OPTIONS"", ""access-control-allow-headers"": ""Origin, Accept, Content-Type, X-Requested-With, X-CSRF-Token, Authorization, Access-Control-Allow-Origin, Req.Http.Origin, Cors"", ""vary"": ""Accept-Encoding"", ""age"": ""12830"", ""accept-ranges"": ""bytes"", ""x-wadp-age"": ""12063.009"", ""x-wadp-ttl"": ""2337.278"", ""x-content-type-options"": ""nosniff"", ""x-clara-wadp"": ""15328191 19863820"", ""server"": ""wadp2"", ""x-wadp-cache"": ""HIT""}",2026-01-29T14:50:25.501501,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
lang,fr,boutique.louvre.fr,/,True,1801201827,False,https://boutique.louvre.fr/fr/?par=1021,GET,,"{""sec-ch-ua"": ""\\""Not(A:Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""144\\"", \\""Google Chrome\\"";v=\\""144\\"""", ""sec-ch-ua-mobile"": ""?0"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-site"": ""same-site"", ""sec-fetch-mode"": ""navigate"", ""sec-fetch-user"": ""?1"", ""sec-fetch-dest"": ""document"", ""referer"": ""https://www.louvre.fr/"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=0, i""}",200.0,"{""server"": ""openresty"", ""date"": ""Thu, 29 Jan 2026 05:50:27 GMT"", ""content-type"": ""text/html; charset=UTF-8"", ""vary"": ""Accept-Encoding"", ""set-cookie"": ""lang=fr; expires=Fri, 29 Jan 2027 05:50:27 GMT; Max-Age=31536000; path=/; secure"", ""expires"": ""Thu, 19 Nov 1981 08:52:00 GMT"", ""cache-control"": ""no-store, no-cache, must-revalidate"", ""pragma"": ""no-cache"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""content-encoding"": ""gzip""}",2026-01-29T14:50:26.699763,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
c,deleted,boutique.louvre.fr,/,True,1,True,https://optimizationguide-pa.googleapis.com/downloads?name=1679317318&target=OPTIMIZATION_TARGET_LANGUAGE_DETECTION,GET,,"{""x-goog-api-key"": ""AIzaSyA2KlwBX3mkFo30om9LUFYQhpqLoa_BNhE"", ""sec-fetch-site"": ""none"", ""sec-fetch-mode"": ""navigate"", ""sec-fetch-dest"": ""empty"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=4, i""}",200.0,"{""x-guploader-uploadid"": ""AJRbA5V_oywJwXBthwkFWE99qX4RbXsBpQc90pZ10_2plYOENXzCNLpdaCD7w6VrR7ypcIa7ojN9yF4"", ""expires"": ""Fri, 30 Jan 2026 05:50:32 GMT"", ""accept-ranges"": ""bytes"", ""vary"": ""X-Goog-Api-Key"", ""cache-control"": ""public, max-age=86400"", ""date"": ""Thu, 29 Jan 2026 05:50:32 GMT"", ""x-goog-hash"": ""crc32c=1IKXVw=="", ""content-length"": ""265059"", ""server"": ""UploadServer"", ""content-type"": ""text/html; charset=UTF-8"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000""}",2026-01-29T14:50:31.613528,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
louvre_consent_technical_v2,true,www.louvre.fr,/,False,1785477023,False,,,,,,,2026-01-29T14:56:04.135858,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
louvre_consent_piano_analytic,true,www.louvre.fr,/,False,1785477023,False,,,,,,,2026-01-29T14:56:04.135858,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
louvre_consent_clarity,true,www.louvre.fr,/,False,1785477023,False,,,,,,,2026-01-29T14:56:04.135858,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
louvre_consent_youtube,true,www.louvre.fr,/,False,1785477023,False,,,,,,,2026-01-29T14:56:04.135858,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
louvre_consent_vimeo,true,www.louvre.fr,/,False,1785477023,False,,,,,,,2026-01-29T14:56:04.135858,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
partner,1021,.boutique.louvre.fr,/,True,1769752227,True,,,,,,,2026-01-29T14:56:04.135858,https://louvre.fr,2026-01-29T14:56:04.135858,Site officiel du musée du Louvre,louvre_fr,third-party
