domain,page_url,found_type,value,anchor_text,context_snippet,relevance_score,status_code,note,detected_language,language_confidence
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,email,dpo@groupelemonde.fr,,"onsultez notre politique de confidentialité ou contactez notre délégué à la protection des données via l'adresse e-mail dpo@groupelemonde.fr. Si vous offrez un abonnement, assurez-vous que la personne concernée accepte de communiquer son adresse e-mail et ses",80,200,text_email,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/faq/?question=je-souhaite-contacter-le-service-client-du-monde,contactez le service client,"e abonnement est mis en pause pendant 1 mois jusqu’au #suspension_date#. Si vous souhaitez annuler votre mise en pause, contactez le service client . Fermer Fermer les actualités en continu 14:07 Alerte Le récit en images de la mort d’Alex Pretti, tué par la police d",60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/faq/?thematic=contacter,Contacter Le Monde,s du Monde S’abonner / Se désabonner Se connecter Consulter le Journal du jour Évenements abonnés Jeux-concours abonnés Contacter Le Monde Informations légales le Monde Mentions légales Conditions générales Charte du Groupe Politique de confidentialité Aide,60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/confidentialite/,Politique de confidentialité,oncours abonnés Contacter Le Monde Informations légales le Monde Mentions légales Conditions générales Charte du Groupe Politique de confidentialité Aide (FAQ) Informations légales le Monde Mentions légales Charte du Groupe Politique de confidentialité Gestion des coo,60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/faq/?question=je-souhaite-contacter-le-service-client-du-monde,link,https://www.lemonde.fr/confidentialite,Politique de confidentialité,Le Monde Accedez au Monde.fr Bonjour Déconnexion Mentions légales Conditions générales de vente Politique de confidentialité Le Monde.fr La boutique en ligne Le Monde Evénements abonnés Besoin d'aide ?,60,200,keyword_link,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,email,johndoe@domain.com,,,60,200,text_email,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,link,https://lemonde.fr/confidentialite/,Politique de confidentialité,"tres options de contact : Pour connaître vos droits sur les données personnelles que vous nous confiez, consultez notre politique de confidentialité ou contactez notre délégué à la protection des données via l'adresse e-mail dpo@groupelemonde.fr. Si vous offrez un abo",60,200,keyword_link,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,email,dpo@groupelemonde.fr,,"onsultez notre politique de confidentialité ou contactez notre délégué à la protection des données via l'adresse e-mail dpo@groupelemonde.fr. Si vous offrez un abonnement, assurez-vous que la personne concernée accepte de communiquer son adresse e-mail et ses",80,200,text_email,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/faq/?question=je-souhaite-contacter-le-service-client-du-monde,contactez le service client,"e abonnement est mis en pause pendant 1 mois jusqu’au #suspension_date#. Si vous souhaitez annuler votre mise en pause, contactez le service client . Fermer Fermer les actualités en continu 14:54 Face à un crime qualifié de raciste, la famille d’Ismaël Aali dans le d",60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/faq/?thematic=contacter,Contacter Le Monde,s du Monde S’abonner / Se désabonner Se connecter Consulter le Journal du jour Évenements abonnés Jeux-concours abonnés Contacter Le Monde Informations légales le Monde Mentions légales Conditions générales Charte du Groupe Politique de confidentialité Aide,60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/confidentialite/,Politique de confidentialité,oncours abonnés Contacter Le Monde Informations légales le Monde Mentions légales Conditions générales Charte du Groupe Politique de confidentialité Aide (FAQ) Informations légales le Monde Mentions légales Charte du Groupe Politique de confidentialité Gestion des coo,60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/faq/?question=je-souhaite-contacter-le-service-client-du-monde,link,https://www.lemonde.fr/confidentialite,Politique de confidentialité,Le Monde Accedez au Monde.fr Bonjour Déconnexion Mentions légales Conditions générales de vente Politique de confidentialité Le Monde.fr La boutique en ligne Le Monde Evénements abonnés Besoin d'aide ?,60,200,keyword_link,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,email,johndoe@domain.com,,,60,200,text_email,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,link,https://lemonde.fr/confidentialite/,Politique de confidentialité,"tres options de contact : Pour connaître vos droits sur les données personnelles que vous nous confiez, consultez notre politique de confidentialité ou contactez notre délégué à la protection des données via l'adresse e-mail dpo@groupelemonde.fr. Si vous offrez un abo",60,200,keyword_link,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,shopping-bags@4x.png,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,arenou@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,floisy@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,svincendon@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,cmateus@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,cbauduin@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,jcloris@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,eguerini@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,mgreco@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,vhunsinger@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,maublanc@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,nberrod@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,prougerie@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,ldescamps@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,mcampistron@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,bmetayer@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,pconradsson@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,vmongaillard@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,lparny@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,dlicata@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,ariou@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,etorgemen@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,njacquard@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,ebureau@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,fmouchon@leparisien.fr,,,60,200,text_email,fr,0.5125
